id,description,children,parents
442,"Web Problems",79|113|352|425|444|601|611|644|646|647|776|784|827|,18|
444,"Inconsistent Interpretation of HTTP Requests ('HTTP Request Smuggling')",,436|442|990|
445,"User Interface Errors",446|450|451|,18|
446,"UI Discrepancy for Security Feature",447|448|449|,445|684|996|
447,"Unimplemented or Unsupported Feature in UI",,446|671|995|
448,"Obsolete Feature in UI",,446|995|
449,"The UI Performs the Wrong Action",,446|995|
450,"Multiple Interpretations of UI Input",,357|445|995|
451,"User Interface (UI) Misrepresentation of Critical Information",,221|445|684|995|
452,"Initialization and Cleanup Errors",453|454|455|456|459|460|665|908|909|910|911|,18|
453,"Insecure Default Variable Initialization",,452|665|966|
454,"External Initialization of Trusted Variables or Data Stores",,452|665|808|994|
455,"Non-exit on Failed Initialization",,452|636|665|705|961|
456,"Missing Initialization of a Variable",,452|808|867|909|998|
457,"Use of Uninitialized Variable",,398|665|998|
459,"Incomplete Cleanup",226|460|568|,404|452|731|857|982|
460,"Improper Cleanup on Thrown Exception",,452|459|755|851|880|961|
461,"Data Structure Issues",462|463|464|,19|
462,"Duplicate Key in Associative List (Alist)",,461|694|744|878|977|
463,"Deletion of Data Structure Sentinel",,461|707|977|
464,"Addition of Data Structure Sentinel",,138|461|741|875|977|
465,"Pointer Issues",466|467|468|469|476|587|588|761|763|781|822|823|824|825|,18|
466,"Return of Pointer Value Outside of Expected Range",,20|119|465|738|872|998|
467,"Use of sizeof() on a Pointer Type",,465|682|737|740|874|974|
468,"Incorrect Pointer Scaling",,465|682|737|998|
469,"Use of Pointer Subtraction to Determine Size",,465|682|740|874|971|
470,"Use of Externally-Controlled Input to Select Classes or Code ('Unsafe Reflection')",,20|610|859|913|991|
471,"Modification of Assumed-Immutable Data (MAID)",291|472|473|607|,19|664|991|
472,"External Control of Assumed-Immutable Web Parameter",,371|471|642|715|722|991|
473,"PHP External Variable Modification",,471|991|
474,"Use of Function with Inconsistent Implementations",589|,398|1001|
475,"Undefined Behavior for Input to API",,398|573|998|
476,"NULL Pointer Dereference",,398|465|730|737|742|808|867|871|876|971|
477,"Use of Obsolete Functions",,398|1001|
478,"Missing Default Case in Switch Statement",,171|398|697|962|
479,"Signal Handler Use of a Non-reentrant Function",,429|634|663|745|828|847|879|1001|
480,"Use of Incorrect Operator",481|482|597|,569|670|747|871|883|977|
481,"Assigning instead of Comparing",,480|569|998|
482,"Comparing instead of Assigning",,480|569|747|883|886|
483,"Incorrect Block Delimitation",,398|670|977|
484,"Omitted Break Statement in Switch",,398|670|962|
485,"Insufficient Encapsulation",216|486|487|488|489|490|491|492|493|495|496|497|498|499|501|545|580|594|607|749|766|767|,18|664|881|966|
486,"Comparison of Classes by Name",,171|485|697|849|998|
487,"Reliance on Package-level Scope",,485|850|966|
488,"Exposure of Data Element to Wrong Session",,485|882|965|
489,"Leftover Debug Code",,485|731|1002|
490,"Mobile Code Issues",491|492|493|494|582|583|,485|503|
491,"Public cloneable() Method Without Final ('Object Hijack')",,485|490|668|849|1002|
492,"Use of Inner Class Containing Sensitive Data",,485|490|668|849|966|
493,"Critical Public Variable Without Final Modifier",500|,216|485|490|668|849|1002|
494,"Download of Code Without Integrity Check",,490|669|752|802|859|865|991|
495,"Private Array-Typed Field Returned From A Public Method",,485|963|
496,"Public Data Assigned to Private Array-Typed Field",,485|994|
497,"Exposure of System Data to an Unauthorized Control Sphere",,200|485|851|880|963|
498,"Cloneable Class Containing Sensitive Information",,485|849|963|
499,"Serializable Class Containing Sensitive Data",,485|858|963|
500,"Public Static Field Not Marked Final",,493|849|1002|
501,"Trust Boundary Violation",,485|963|
502,"Deserialization of Untrusted Data",,858|913|994|
503,"Byte/Object Code",14|490|,17|
504,"Motivation/Intent",505|518|,
505,"Intentionally Introduced Weakness",506|513|912|913|,504|
506,"Embedded Malicious Code",507|510|511|512|,505|904|912|
507,"Trojan Horse",508|509|,506|904|
508,"Non-Replicating Malicious Code",,507|904|
509,"Replicating Malicious Code (Virus or Worm)",,507|904|
510,"Trapdoor",,506|904|
511,"Logic/Time Bomb",,506|904|
512,"Spyware",,506|904|
513,"Intentionally Introduced Nonmalicious Weakness",517|,505|
514,"Covert Channel",385|515|,418|518|668|912|968|
515,"Covert Storage Channel",,514|968|
517,"Other Intentional, Nonmalicious Weakness",,513|
518,"Inadvertently Introduced Weakness",514|,504|
519,".NET Environment Issues",10|520|,3|
520,".NET Misconfiguration: Use of Impersonation",,266|519|901|
521,"Weak Password Requirements",258|,255|287|724|951|
522,"Insufficiently Protected Credentials",256|257|260|523|549|555|,255|287|668|718|724|930|963|
523,"Unprotected Transport of Credentials",,522|930|963|
524,"Information Exposure Through Caching",525|,200|965|
525,"Information Exposure Through Browser Caching",,524|723|724|966|
526,"Information Exposure Through Environmental Variables",,200|731|963|
527,"Exposure of CVS Repository to an Unauthorized Control Sphere",,538|552|731|963|
528,"Exposure of Core Dump File to an Unauthorized Control Sphere",,538|552|731|742|876|963|
529,"Exposure of Access Control List Files to an Unauthorized Control Sphere",,538|552|731|963|
530,"Exposure of Backup File to an Unauthorized Control Sphere",,538|552|731|963|
531,"Information Exposure Through Test Code",,540|731|1002|
532,"Information Exposure Through Log Files",533|534|542|,538|552|731|857|963|
533,"Information Exposure Through Server Log Files",,532|552|632|731|857|963|
534,"Information Exposure Through Debug Log Files",,532|552|731|963|
535,"Information Exposure Through Shell Error Message",,210|963|
536,"Information Exposure Through Servlet Runtime Error Message",,210|963|
537,"Information Exposure Through Java Runtime Error Message",,210|963|
538,"File and Directory Information Exposure",527|528|529|530|532|539|540|548|651|,200|815|963|
539,"Information Exposure Through Persistent Cookies",,538|729|963|
540,"Information Exposure Through Source Code",531|541|615|,538|552|731|963|
541,"Information Exposure Through Include Source Code",,540|731|963|
542,"Information Exposure Through Cleanup Log Files",,532|552|731|857|963|
543,"Use of Singleton Pattern Without Synchronization in a Multithreaded Context",,381|820|861|986|
544,"Missing Standardized Error Handling Mechanism",,388|746|755|880|961|
545,"Use of Dynamic Class Loading",,485|991|
546,"Suspicious Comment",,398|963|
547,"Use of Hard-coded, Security-relevant Constants",,398|736|950|
548,"Information Exposure Through Directory Listing",,538|552|731|933|963|
549,"Missing Password Field Masking",,255|355|522|995|
550,"Information Exposure Through Server Error Message",,209|963|
551,"Incorrect Behavior Order: Authorization Before Parsing and Canonicalization",,696|723|863|949|
552,"Files or Directories Accessible to External Parties",527|528|529|530|532|533|534|540|542|548|553|,2|632|668|731|743|815|877|963|
553,"Command Shell in Externally Accessible Directory",,552|990|
554,"ASP.NET Misconfiguration: Not Using Input Validation Framework",,10|20|990|
555,"J2EE Misconfiguration: Plaintext Password in Configuration File",,4|522|963|
556,"ASP.NET Misconfiguration: Use of Identity Impersonation",,10|266|723|951|
557,"Concurrency Issues",366|558|567|572|,361|
558,"Use of getlogin() in Multithreaded Application",,227|557|663|1001|
559,"Often Misused: Arguments and Parameters",560|628|,227|
560,"Use of umask() with chmod-style Argument",,559|687|946|
561,"Dead Code",570|571|,398|747|883|886|
562,"Return of Stack Variable Address",,398|672|748|998|
563,"Assignment to Variable without Use ('Unused Variable')",,398|747|883|886|
564,"SQL Injection: Hibernate",,89|990|
565,"Reliance on Cookies without Validation and Integrity Checking",784|,254|602|642|949|
566,"Authorization Bypass Through User-Controlled SQL Primary Key",,639|994|
567,"Unsynchronized Access to Shared Data in a Multithreaded Context",,557|820|852|986|
568,"finalize() Method Without super.finalize()",,399|459|573|850|1002|
569,"Expression Issues",480|481|482|570|571|588|595|596|783|,398|
570,"Expression is Always False",,561|569|747|883|998|
571,"Expression is Always True",,561|569|747|883|998|
572,"Call to Thread run() instead of start()",,557|634|821|854|1001|
573,"Improper Following of Specification by Caller",103|104|243|253|296|304|325|329|358|475|568|577|578|579|580|581|628|675|694|695|,227|850|1001|
574,"EJB Bad Practices: Use of Synchronization Primitives",,695|821|1001|
575,"EJB Bad Practices: Use of AWT Swing",,695|1001|
576,"EJB Bad Practices: Use of Java I/O",,695|1001|
577,"EJB Bad Practices: Use of Sockets",,573|1001|
578,"EJB Bad Practices: Use of Class Loader",,573|1001|
579,"J2EE Bad Practices: Non-serializable Object Stored in Session",,573|998|
580,"clone() Method Without super.clone()",,485|573|1002|
581,"Object Model Violation: Just One of Equals and Hashcode Defined",,573|850|977|
582,"Array Declared Public, Final, and Static",,490|668|849|1002|
583,"finalize() Method Declared Public",,490|668|850|1002|
584,"Return Inside Finally Block",,389|705|851|961|
585,"Empty Synchronized Block",,371|398|987|
586,"Explicit Call to Finalize()",,227|398|850|1001|
587,"Assignment of a Fixed Address to a Pointer",,344|465|738|758|872|998|
588,"Attempt to Access Child of a Non-structure Pointer",,465|569|704|758|971|
589,"Call to Non-ubiquitous API",,227|474|850|858|1001|
590,"Free of Memory not on the Heap",,399|742|762|876|969|
591,"Sensitive Data Storage in Improperly Locked Memory",,413|633|729|742|876|963|
592,"Authentication Bypass Issues",288|289|290|294|302|305|593|,287|724|947|
593,"Authentication Bypass: OpenSSL CTX Object Modified after SSL Objects are Created",,592|666|948|
594,"J2EE Framework: Saving Unserializable Objects to Disk",,485|998|
595,"Comparison of Object References Instead of Object Contents",597|,171|569|697|847|977|
596,"Incorrect Semantic Object Comparison",,171|569|697|840|977|
597,"Use of Wrong Operator in String Comparison",,133|480|595|847|998|
598,"Information Exposure Through Query Strings in GET Request",,200|729|963|
599,"Missing Validation of OpenSSL Certificate",,295|948|
600,"Uncaught Exception in Servlet ",,248|388|851|962|
601,"URL Redirection to Untrusted Site ('Open Redirect')",,20|442|610|722|801|819|864|938|990|
602,"Client-Side Enforcement of Server-Side Security",565|603|,254|669|693|722|753|975|
603,"Use of Client-Side Authentication",,287|602|947|
605,"Multiple Binds to the Same Port",,227|666|675|954|
606,"Unchecked Input for Loop Condition",,20|738|872|994|
607,"Public Static Final Field References Mutable Object",,471|485|963|
608,"Struts: Non-private Field in ActionForm Class",,101|668|1002|
609,"Double-Checked Locking",,361|667|853|986|
610,"Externally Controlled Reference to a Resource in Another Sphere",15|73|441|470|601|611|,265|664|980|
611,"Improper Restriction of XML External Entity Reference ('XXE')",,442|610|990|
612,"Information Exposure Through Indexing of Private Data",,200|963|
613,"Insufficient Session Expiration",,361|672|724|930|951|
614,"Sensitive Cookie in HTTPS Session Without 'Secure' Attribute",,311|966|
615,"Information Exposure Through Comments",,540|963|
616,"Incomplete Identification of Uploaded File Variables (PHP)",,345|429|994|
617,"Reachable Assertion",,398|670|850|1001|
618,"Exposed Unsafe ActiveX Method",,275|749|977|
619,"Dangling Database Cursor ('Cursor Injection')",,402|404|990|
620,"Unverified Password Change",,255|287|724|930|952|
621,"Variable Extraction Error",,914|990|
622,"Improper Validation of Function Hook Arguments",,20|991|
623,"Unsafe ActiveX Control Marked Safe For Scripting",,267|691|978|
624,"Executable Regular Expression Error",,77|990|
625,"Permissive Regular Expression",777|,185|845|990|
626,"Null Byte Interaction Error (Poison Null Byte)",,20|436|990|
627,"Dynamic Variable Evaluation",,914|990|
628,"Function Call with Incorrectly Specified Arguments",683|685|686|687|688|,559|573|736|737|742|998|
632,"Weaknesses that Affect Files or Directories",22|41|59|60|63|67|68|70|96|98|178|243|260|275|282|284|376|434|533|552|785|,
633,"Weaknesses that Affect Memory",14|119|120|122|129|134|226|244|251|316|401|415|416|591|763|785|,
634,"Weaknesses that Affect System Processes",69|78|88|114|214|266|273|364|366|383|387|403|421|422|426|479|572|,
636,"Not Failing Securely ('Failing Open')",455|,388|657|728|755|961|
637,"Unnecessary Complexity in Protection Mechanism (Not Using 'Economy of Mechanism')",,657|975|
638,"Not Using Complete Mediation",424|,657|862|988|
639,"Authorization Bypass Through User-Controlled Key",566|,715|723|813|840|862|932|945|
640,"Weak Password Recovery Mechanism for Forgotten Password",,255|287|724|840|930|959|
641,"Improper Restriction of Names for Files and Other Resources",,99|990|
642,"External Control of Critical State Data",15|73|426|472|565|,371|668|752|963|
643,"Improper Neutralization of Data within XPath Expressions ('XPath Injection')",,91|943|990|
644,"Improper Neutralization of HTTP Headers for Scripting Syntax",,116|442|725|990|
645,"Overly Restrictive Account Lockout Mechanism",,287|951|
646,"Reliance on File Name or Extension of Externally-Supplied File",,345|442|990|
647,"Use of Non-Canonical URL Paths for Authorization Decisions",,442|845|863|949|
648,"Incorrect Use of Privileged APIs",,227|265|269|977|
649,"Reliance on Obfuscation or Encryption of Security-Relevant Inputs without Integrity Checking",,345|975|
650,"Trusting HTTP Permission Methods on the Server Side",,2|227|436|945|
651,"Information Exposure Through WSDL File",,538|966|
652,"Improper Neutralization of Data within XQuery Expressions ('XQuery Injection')",,91|943|990|
653,"Insufficient Compartmentalization",,254|657|693|901|
654,"Reliance on a Single Factor in a Security Decision",308|309|,254|657|693|975|
655,"Insufficient Psychological Acceptability",,254|657|693|995|
656,"Reliance on Security Through Obscurity",,254|657|693|975|
657,"Violation of Secure Design Principles",250|636|637|638|653|654|655|656|671|,17|710|975|
662,"Improper Synchronization",663|667|820|821|,361|664|691|745|852|879|986|
663,"Use of a Non-reentrant Function in a Concurrent Context",479|558|,361|662|986|
664,"Improper Control of a Resource Through its Lifetime",221|284|400|404|405|410|471|485|610|662|665|666|668|669|673|704|706|908|911|913|922|,361|984|
665,"Improper Initialization",453|454|455|457|770|909|,452|664|740|742|752|846|874|876|962|
666,"Operation on Resource in Wrong Phase of Lifetime",415|593|605|672|826|,664|840|984|
667,"Improper Locking",412|413|414|609|764|765|832|833|,662|748|852|853|986|
668,"Exposure of Resource to Wrong Sphere",8|22|200|220|374|375|377|402|427|428|491|492|493|514|522|552|582|583|608|642|732|766|767|927|942|,361|664|963|
669,"Incorrect Resource Transfer Between Spheres",212|243|434|494|602|829|,361|664|963|
670,"Always-Incorrect Control Flow Implementation",480|483|484|617|698|783|,691|977|
671,"Lack of Administrator Control over Security",447|798|,657|975|
672,"Operation on a Resource after Expiration or Release",298|324|562|613|825|910|,361|666|808|983|
673,"External Influence of Sphere Definition",426|,361|664|991|
674,"Uncontrolled Recursion",776|,361|730|834|985|
675,"Duplicate Operations on Resource",174|415|605|764|765|,573|743|877|984|
676,"Use of Potentially Dangerous Function",785|,398|738|743|746|865|872|877|1001|
680,"Integer Overflow to Buffer Overflow",,20|
681,"Incorrect Conversion between Numeric Types",192|194|195|196|197|,136|189|704|738|739|808|848|867|872|873|998|
682,"Incorrect Calculation",128|131|135|190|191|192|193|369|467|468|469|,189|189|738|739|752|872|873|977|
683,"Function Call With Incorrect Order of Arguments",,628|998|
684,"Incorrect Provision of Specified Functionality",392|393|440|446|451|,227|735|1001|
685,"Function Call With Incorrect Number of Arguments",,628|998|
686,"Function Call With Incorrect Argument Type",,628|736|739|741|743|748|873|875|998|
687,"Function Call With Incorrectly Specified Argument Value",560|,628|742|876|998|
688,"Function Call With Incorrect Variable or Reference as Argument",,628|998|
689,"Permission Race Condition During Resource Copy",,275|732|
690,"Unchecked Return Value to NULL Pointer Dereference",,20|851|876|
691,"Insufficient Control Flow Management",94|362|430|431|623|662|670|696|705|749|768|799|834|841|,361|977|
692,"Incomplete Blacklist to Cross-Site Scripting",,20|
693,"Protection Mechanism Failure",20|179|182|183|184|284|295|311|326|327|345|357|358|424|602|653|654|655|656|757|778|807|,254|975|
694,"Use of Multiple Resources with Duplicate Identifier",102|462|,99|573|984|
695,"Use of Low-Level Functionality",111|245|246|383|574|575|576|,573|1001|
696,"Incorrect Behavior Order",179|408|551|,691|748|840|977|
697,"Insufficient Comparison",183|184|185|187|372|478|486|595|596|,171|747|883|977|
698,"Execution After Redirect (EAR)",,361|670|705|977|
703,"Improper Check or Handling of Exceptional Conditions",166|167|168|228|248|274|280|333|391|392|393|397|754|755|,851|876|880|961|
704,"Incorrect Type Conversion or Cast",588|681|843|,664|737|741|747|875|883|998|
705,"Incorrect Control Flow Scoping",248|382|395|396|397|455|584|698|,691|744|746|851|854|878|880|977|
706,"Use of Incorrectly-Resolved Name or Reference",22|41|59|66|98|178|386|827|,664|981|
707,"Improper Enforcement of Message or Data Structure",74|116|138|170|172|228|240|463|,171|990|
708,"Incorrect Ownership Assignment",,282|723|944|
710,"Coding Standards Violation",227|242|398|657|758|912|,978|
712,"OWASP Top Ten 2007 Category A1 - Cross Site Scripting (XSS)",79|,
713,"OWASP Top Ten 2007 Category A2 - Injection Flaws",77|89|90|91|93|,
714,"OWASP Top Ten 2007 Category A3 - Malicious File Execution",78|95|98|434|,
715,"OWASP Top Ten 2007 Category A4 - Insecure Direct Object Reference",22|472|639|,
716,"OWASP Top Ten 2007 Category A5 - Cross Site Request Forgery (CSRF)",352|,
717,"OWASP Top Ten 2007 Category A6 - Information Leakage and Improper Error Handling",200|203|209|215|,
718,"OWASP Top Ten 2007 Category A7 - Broken Authentication and Session Management",287|301|522|,
719,"OWASP Top Ten 2007 Category A8 - Insecure Cryptographic Storage",311|321|325|326|,
720,"OWASP Top Ten 2007 Category A9 - Insecure Communications",311|321|325|326|,
721,"OWASP Top Ten 2007 Category A10 - Failure to Restrict URL Access",285|288|425|,
722,"OWASP Top Ten 2004 Category A1 - Unvalidated Input",20|77|79|89|102|103|104|106|109|120|166|167|179|180|181|182|183|425|472|601|602|,
723,"OWASP Top Ten 2004 Category A2 - Broken Access Control",9|22|41|73|266|268|275|283|284|285|330|425|525|551|556|639|708|,
724,"OWASP Top Ten 2004 Category A3 - Broken Authentication and Session Management",255|259|287|296|298|302|304|307|309|345|384|521|522|525|592|613|620|640|798|,
725,"OWASP Top Ten 2004 Category A4 - Cross-Site Scripting (XSS) Flaws",79|644|,
726,"OWASP Top Ten 2004 Category A5 - Buffer Overflows",119|120|134|,
727,"OWASP Top Ten 2004 Category A6 - Injection Flaws",74|77|78|89|91|95|98|117|,
728,"OWASP Top Ten 2004 Category A7 - Improper Error Handling",7|203|209|228|252|388|390|391|394|636|,
729,"OWASP Top Ten 2004 Category A8 - Insecure Storage",14|226|261|311|321|326|327|539|591|598|,
730,"OWASP Top Ten 2004 Category A9 - Denial of Service",170|248|369|382|400|401|404|405|410|412|476|674|,
731,"OWASP Top Ten 2004 Category A10 - Insecure Configuration Management",4|10|209|215|219|275|295|459|489|526|527|528|529|530|531|532|533|534|540|541|542|548|552|,
732,"Incorrect Permission Assignment for Critical Resource",276|277|278|279|281|689|,275|285|668|743|753|803|815|840|857|859|860|866|877|946|
733,"Compiler Optimization Removal or Modification of Security-critical Code",14|,435|758|976|
735,"CERT C Secure Coding Section 01 - Preprocessor (PRE)",684|,
736,"CERT C Secure Coding Section 02 - Declarations and Initialization (DCL)",547|628|686|,
737,"CERT C Secure Coding Section 03 - Expressions (EXP)",467|468|476|628|704|783|,
738,"CERT C Secure Coding Section 04 - Integers (INT)",20|129|190|192|197|369|466|587|606|676|681|682|,
739,"CERT C Secure Coding Section 05 - Floating Point (FLP)",369|681|682|686|,
740,"CERT C Secure Coding Section 06 - Arrays (ARR)",119|129|467|469|665|805|,
741,"CERT C Secure Coding Section 07 - Characters and Strings (STR)",78|88|119|120|135|170|193|464|686|704|,
742,"CERT C Secure Coding Section 08 - Memory Management (MEM)",20|119|128|131|190|226|244|252|415|416|476|528|590|591|628|665|687|754|,
743,"CERT C Secure Coding Section 09 - Input Output (FIO)",22|37|38|39|41|59|62|64|65|67|119|134|241|276|279|362|367|379|391|403|404|552|675|676|686|732|,
744,"CERT C Secure Coding Section 10 - Environment (ENV)",78|88|119|426|462|705|,
745,"CERT C Secure Coding Section 11 - Signals (SIG)",479|662|,
746,"CERT C Secure Coding Section 12 - Error Handling (ERR)",20|391|544|676|705|,
747,"CERT C Secure Coding Section 49 - Miscellaneous (MSC)",14|20|176|330|480|482|561|563|570|571|697|704|,
748,"CERT C Secure Coding Section 50 - POSIX (POS)",59|170|242|272|273|363|365|366|562|667|686|696|,
749,"Exposed Dangerous Method or Function",618|782|,485|691|808|975|
751,"2009 Top 25 - Insecure Interaction Between Components",20|78|79|89|116|209|319|352|362|,
752,"2009 Top 25 - Risky Resource Management",73|94|119|404|426|494|642|665|682|,
753,"2009 Top 25 - Porous Defenses",250|259|285|327|330|602|732|798|,
754,"Improper Check for Unusual or Exceptional Conditions",252|253|273|354|394|,388|703|742|802|840|867|876|880|962|
755,"Improper Handling of Exceptional Conditions",209|390|395|396|460|544|636|756|,703|880|962|
756,"Missing Custom Error Page",7|12|,388|755|963|
757,"Selection of Less-Secure Algorithm During Negotiation ('Algorithm Downgrade')",,693|957|
758,"Reliance on Undefined, Unspecified, or Implementation-Defined Behavior",188|587|588|733|,710|1001|
759,"Use of a One-Way Hash without a Salt",,816|866|916|958|
760,"Use of a One-Way Hash with a Predictable Salt",,916|958|
761,"Free of Pointer not at Start of Buffer",,399|465|763|969|
762,"Mismatched Memory Management Routines",590|,399|763|876|969|
763,"Release of Invalid Pointer or Reference",761|762|,399|404|465|633|969|
764,"Multiple Locks of a Critical Resource",,667|675|987|
765,"Multiple Unlocks of a Critical Resource",,667|675|987|
766,"Critical Variable Declared Public",,485|668|849|1002|
767,"Access to Critical Private Variable via Public Method",,485|668|963|
768,"Incorrect Short Circuit Evaluation",,171|691|871|998|
769,"File Descriptor Exhaustion",773|774|775|,400|
770,"Allocation of Resources Without Limits or Throttling",774|789|,400|665|802|840|857|858|861|867|876|877|985|
771,"Missing Reference to Active Allocated Resource",773|,400|982|
772,"Missing Release of Resource after Effective Lifetime",401|775|,400|404|808|867|882|982|
773,"Missing Reference to Active File Descriptor or Handle",,769|771|982|
774,"Allocation of File Descriptors or Handles Without Limits or Throttling",,769|770|985|
775,"Missing Release of File Descriptor or Handle after Effective Lifetime",,769|772|982|
776,"Improper Restriction of Recursive Entity References in DTDs ('XML Entity Expansion')",,409|442|674|
777,"Regular Expression without Anchors",,625|
778,"Insufficient Logging",,223|254|693|
779,"Logging of Excessive Data",,199|254|400|
780,"Use of RSA Algorithm without OAEP",,310|327|
781,"Improper Address Validation in IOCTL with METHOD_NEITHER I/O Control Code",,20|465|
782,"Exposed IOCTL with Insufficient Access Control",,284|749|
783,"Operator Precedence Logic Error",,569|670|737|
784,"Reliance on Cookies without Validation and Integrity Checking in a Security Decision",,254|442|565|807|
785,"Use of Path Manipulation Function without Maximum-sized Buffer",,20|120|632|633|676|972|
786,"Access of Memory Location Before Start of Buffer",124|127|,119|
787,"Out-of-bounds Write",121|122|124|,119|
788,"Access of Memory Location After End of Buffer",121|122|126|,119|
789,"Uncontrolled Memory Allocation",,20|770|
790,"Improper Filtering of Special Elements",791|,138|
791,"Incomplete Filtering of Special Elements",792|795|,790|
792,"Incomplete Filtering of One or More Instances of Special Elements",793|794|,791|
793,"Only Filtering One Instance of a Special Element",,792|
794,"Incomplete Filtering of Multiple Instances of Special Elements",,792|
795,"Only Filtering Special Elements at a Specified Location",796|797|,791|
796,"Only Filtering Special Elements Relative to a Marker",,795|
797,"Only Filtering Special Elements at an Absolute Position",,795|
798,"Use of Hard-coded Credentials",259|321|,254|255|287|344|671|724|753|803|812|861|866|
799,"Improper Control of Interaction Frequency",307|837|,438|691|808|840|
801,"2010 Top 25 - Insecure Interaction Between Components",78|79|89|209|352|362|434|601|,
802,"2010 Top 25 - Risky Resource Management",22|98|120|129|131|190|494|754|770|805|,
803,"2010 Top 25 - Porous Defenses",285|306|311|327|732|798|807|,
804,"Guessable CAPTCHA",,287|330|808|863|
805,"Buffer Access with Incorrect Length Value",806|,119|740|802|867|874|
806,"Buffer Access Using Size of Source Buffer",,805|
807,"Reliance on Untrusted Inputs in a Security Decision",302|350|784|,254|693|803|859|866|878|
808,"2010 Top 25 - Weaknesses On the Cusp",59|134|212|307|330|416|426|454|456|476|672|681|749|772|799|804|,
810,"OWASP Top Ten 2010 Category A1 - Injection",78|88|89|90|91|,
811,"OWASP Top Ten 2010 Category A2 - Cross-Site Scripting (XSS)",79|,
812,"OWASP Top Ten 2010 Category A3 - Broken Authentication and Session Management",287|306|307|798|,
813,"OWASP Top Ten 2010 Category A4 - Insecure Direct Object References",22|99|434|639|829|862|863|,
814,"OWASP Top Ten 2010 Category A5 - Cross-Site Request Forgery(CSRF)",352|,
815,"OWASP Top Ten 2010 Category A6 - Security Misconfiguration",209|219|250|538|552|732|,
816,"OWASP Top Ten 2010 Category A7 - Insecure Cryptographic Storage",311|312|326|327|759|,
817,"OWASP Top Ten 2010 Category A8 - Failure to Restrict URL Access",285|862|863|,
818,"OWASP Top Ten 2010 Category A9 - Insufficient Transport Layer Protection",311|319|,
819,"OWASP Top Ten 2010 Category A10 - Unvalidated Redirects and Forwards",601|,
820,"Missing Synchronization",543|567|,662|853|
821,"Incorrect Synchronization",572|574|,662|
822,"Untrusted Pointer Dereference",,119|465|867|876|
823,"Use of Out-of-range Pointer Offset",,119|465|
824,"Access of Uninitialized Pointer",,119|465|
825,"Expired Pointer Dereference",415|416|,119|465|672|867|
826,"Premature Release of Resource During Expected Lifetime",,666|
827,"Improper Control of Document Type Definition",,442|706|829|
828,"Signal Handler with Functionality that is not Asynchronous-Safe",479|,364|
829,"Inclusion of Functionality from Untrusted Control Sphere",98|827|830|,669|813|864|
830,"Inclusion of Web Functionality from an Untrusted Source",,829|
831,"Signal Handler Function Associated with Multiple Signals",,364|
832,"Unlock of a Resource that is not Locked",,667|
833,"Deadlock",,667|853|
834,"Excessive Iteration",674|835|,691|
835,"Loop with Unreachable Exit Condition ('Infinite Loop')",,834|
836,"Use of Password Hash Instead of Password for Authentication",,287|
837,"Improper Enforcement of a Single, Unique Action",,799|
838,"Inappropriate Encoding for Output Context",,116|845|867|
839,"Numeric Range Comparison Without Minimum Check",,187|189|
840,"Business Logic Errors",200|282|285|288|408|596|639|640|666|696|732|754|770|799|841|,438|
841,"Improper Enforcement of Behavioral Workflow",,438|691|840|867|
842,"Placement of User into Incorrect Group",,286|
843,"Access of Resource Using Incompatible Type ('Type Confusion')",,704|
845,"CERT Java Secure Coding Section 00 - Input Validation and Data Sanitization (IDS)",78|116|134|144|150|171|180|182|289|409|625|647|838|,
846,"CERT Java Secure Coding Section 01 - Declarations and Initialization (DCL)",665|,
847,"CERT Java Secure Coding Section 02 - Expressions (EXP)",252|479|595|597|,
848,"CERT Java Secure Coding Section 03 - Numeric Types and Operations (NUM)",197|369|681|,
849,"CERT Java Secure Coding Section 04 - Object Orientation (OBJ)",374|375|486|491|492|493|498|500|582|766|,
850,"CERT Java Secure Coding Section 05 - Methods (MET)",487|568|573|581|583|586|589|617|,
851,"CERT Java Secure Coding Section 06 - Exceptional Behavior (ERR)",209|230|232|248|382|390|395|397|460|497|584|600|690|703|705|,
852,"CERT Java Secure Coding Section 07 - Visibility and Atomicity (VNA)",362|366|413|567|662|667|,
853,"CERT Java Secure Coding Section 08 - Locking (LCK)",412|413|609|667|820|833|,
854,"CERT Java Secure Coding Section 09 - Thread APIs (THI)",572|705|,
855,"CERT Java Secure Coding Section 10 - Thread Pools (TPS)",392|405|410|,
856,"CERT Java Secure Coding Section 11 - Thread-Safety Miscellaneous (TSM)",,
857,"CERT Java Secure Coding Section 12 - Input Output (FIO)",67|135|198|276|279|359|377|404|405|459|532|533|542|732|770|,
858,"CERT Java Secure Coding Section 13 - Serialization (SER)",250|319|400|499|502|589|770|,
859,"CERT Java Secure Coding Section 14 - Platform Security (SEC)",111|266|272|300|302|319|347|470|494|732|807|,
860,"CERT Java Secure Coding Section 15 - Runtime Environment (ENV)",349|732|,
861,"CERT Java Secure Coding Section 49 - Miscellaneous (MSC)",259|311|330|332|333|336|337|400|401|543|770|798|,
862,"Missing Authorization",425|638|639|939|,285|813|817|866|
863,"Incorrect Authorization",551|647|804|,285|813|817|866|
864,"2011 Top 25 - Insecure Interaction Between Components",78|79|89|352|434|601|829|,
865,"2011 Top 25 - Risky Resource Management",22|120|131|134|190|494|676|,
